;paiva;ibov;;;
25/06/2015;1,642102;53175,7;-1,691789978;;
25/06/2015;1,642102;53175,7;-1,691789978;;
25/06/2015;1,642102;53175,7;-1,691789978;;
26/06/2015;1,6503;54017;-1,200997868;;
26/06/2015;1,6503;54017;-1,200997868;;
26/06/2015;1,6503;54017;-1,200997868;;
26/06/2015;1,6503;54017;-1,200997868;;
29/06/2015;1,637845;53014,2;-1,946645067;;
29/06/2015;1,637845;53014,2;-1,946645067;;
29/06/2015;1,637845;53014,2;-1,946645067;;
29/06/2015;1,637845;53014,2;-1,946645067;;
30/06/2015;1,640199;53080,9;-1,805717447;;
30/06/2015;1,640199;53080,9;-1,805717447;;
30/06/2015;1,640199;53080,9;-1,805717447;;
30/06/2015;1,640199;53080,9;-1,805717447;;
01/07/2015;1,651732;52757,5;-1,115267897;;
01/07/2015;1,651732;52757,5;-1,115267897;;
01/07/2015;1,651732;52757,5;-1,115267897;;
01/07/2015;1,651732;52757,5;-1,115267897;;
02/07/2015;1,652183;53106,2;-1,088267746;;
02/07/2015;1,652183;53106,2;-1,088267746;;
02/07/2015;1,652183;53106,2;-1,088267746;;
02/07/2015;1,652183;53106,2;-1,088267746;;
03/07/2015;1,651736;52519,4;-1,115028428;;
03/07/2015;1,651736;52519,4;-1,115028428;;
03/07/2015;1,651736;52519,4;-1,115028428;;
03/07/2015;1,651736;52519,4;-1,115028428;;
06/07/2015;1,64725;52149,4;-1,383593127;;
06/07/2015;1,64725;52149,4;-1,383593127;;
06/07/2015;1,64725;52149,4;-1,383593127;;
06/07/2015;1,64725;52149,4;-1,383593127;;
07/07/2015;1,648078;52343,7;-1,334023005;;
07/07/2015;1,648078;52343,7;-1,334023005;;
07/07/2015;1,648078;52343,7;-1,334023005;;
07/07/2015;1,648078;52343,7;-1,334023005;;
08/07/2015;1,644754;51781,8;-1,533021904;;
08/07/2015;1,644754;51781,8;-1,533021904;;
08/07/2015;1,644754;51781,8;-1,533021904;;
08/07/2015;1,644754;51781,8;-1,533021904;;
09/07/2015;1,646008;51781,8;-1,457948312;;
09/07/2015;1,646008;51781,8;-1,457948312;;
09/07/2015;1,646008;51781,8;-1,457948312;;
09/07/2015;1,646008;51781,8;-1,457948312;;
10/07/2015;1,658886;52590,7;-0,686977246;;
10/07/2015;1,658886;52590,7;-0,686977246;;
10/07/2015;1,658886;52590,7;-0,686977246;;
10/07/2015;1,658886;52590,7;-0,686977246;;
13/07/2015;1,657247;53119,5;-0,785099748;;
13/07/2015;1,657247;53119,5;-0,785099748;;
13/07/2015;1,657247;53119,5;-0,785099748;;
13/07/2015;1,657247;53119,5;-0,785099748;;
14/07/2015;1,6605;53239,2;-0,590351427;;
